segment,segment_display,count,example_occurrences
ые ,'ые ',461,"[{""sentence_id"": 0, ""text"": ""В понедельник ученые из Медицинской школы Стэнфордского университета объявили об изобретении нового диагностического инструмента, который может сортировать клетки по их типу; это маленький чип, который можно напечатать, используя стандартный струйный принтер примерно за 1 цент США.""}, {""sentence_id"": 4, ""text"": ""Местные СМИ сообщают, что в аэропорту по пути на вызов перевернулась пожарная машина.""}, {""sentence_id"": 14, ""text"": ""После матча \""Король грунта\"" сказал: \""Я так рад, что вернусь в финальные раунды самых важных мероприятий. Я здесь, чтобы попытаться выиграть\"".""}]"
ия ,'ия ',457,"[{""sentence_id"": 10, ""text"": ""Около 11:29 протестующие двинулись вверх по Уайтхолл, мимо Трафальгарской площади, вдоль Стрэнда, мимо Олдвича и вверх по Кингсуэй в сторону района Холборн, где Консервативная партия проводила свой Весенний форум в гостинице Grand Connaught Rooms.""}, {""sentence_id"": 16, ""text"": ""Документы показали, что четырнадцать банков помогли состоятельным клиентам спрятать миллиарды долларов США, чтобы избежать уплаты налогов и выполнения прочих нормативных требований.""}, {""sentence_id"": 20, ""text"": ""Во время проведения выборов Се намекал, что Ма может покинуть страну в случае кризиса.""}]"
по,'по',455,"[{""sentence_id"": 2, ""text"": ""Приблизительно в 9:30 по местному времени (02:30 UTC) JAS 39C Gripen упал на взлетно-посадочную полосу и взорвался. Аэропорт пришлось закрыть для коммерческих рейсов.""}, {""sentence_id"": 8, ""text"": ""Сразу после 11:00 протестующие перекрыли движение в северном направлении по Уайтхоллу.""}, {""sentence_id"": 19, ""text"": ""Ма родился в Гонконге, учился в Нью-Йоркском университете и Гарвардской юридической школе. Он также когда-то имел постоянный вид на жительство в Америке (\""грин-карту\"").""}]"
", ","', '",420,"[{""sentence_id"": 1, ""text"": ""Ведущие исследователи утверждают, что он может помочь в раннем выявлении рака, туберкулеза, ВИЧ и малярии у пациентов в странах с низким уровнем дохода, где показатели выживаемости при таких болезнях, как рак молочной железы, могут быть в два раза ниже, чем в более богатых странах.""}, {""sentence_id"": 10, ""text"": ""Около 11:29 протестующие двинулись вверх по Уайтхолл, мимо Трафальгарской площади, вдоль Стрэнда, мимо Олдвича и вверх по Кингсуэй в сторону района Холборн, где Консервативная партия проводила свой Весенний форум в гостинице Grand Connaught Rooms.""}, {""sentence_id"": 18, ""text"": ""По всему миру происходили протесты, было несколько уголовных преследований, а главы правительств Исландии и Пакистана ушли в отставку.""}]"
что ,'что ',411,"[{""sentence_id"": 1, ""text"": ""Ведущие исследователи утверждают, что он может помочь в раннем выявлении рака, туберкулеза, ВИЧ и малярии у пациентов в странах с низким уровнем дохода, где показатели выживаемости при таких болезнях, как рак молочной железы, могут быть в два раза ниже, чем в более богатых странах.""}, {""sentence_id"": 4, ""text"": ""Местные СМИ сообщают, что в аэропорту по пути на вызов перевернулась пожарная машина.""}, {""sentence_id"": 9, ""text"": ""В 11:20 полиция попросила митингующих вернуться на тротуар, заявив, что им необходимо соблюдать баланс между правом протестовать и задержкой дорожного движения.""}]"
их ,'их ',399,"[{""sentence_id"": 0, ""text"": ""В понедельник ученые из Медицинской школы Стэнфордского университета объявили об изобретении нового диагностического инструмента, который может сортировать клетки по их типу; это маленький чип, который можно напечатать, используя стандартный струйный принтер примерно за 1 цент США.""}, {""sentence_id"": 1, ""text"": ""Ведущие исследователи утверждают, что он может помочь в раннем выявлении рака, туберкулеза, ВИЧ и малярии у пациентов в странах с низким уровнем дохода, где показатели выживаемости при таких болезнях, как рак молочной железы, могут быть в два раза ниже, чем в более богатых странах.""}, {""sentence_id"": 2, ""text"": ""Приблизительно в 9:30 по местному времени (02:30 UTC) JAS 39C Gripen упал на взлетно-посадочную полосу и взорвался. Аэропорт пришлось закрыть для коммерческих рейсов.""}]"
с ,'с ',392,"[{""sentence_id"": 1, ""text"": ""Ведущие исследователи утверждают, что он может помочь в раннем выявлении рака, туберкулеза, ВИЧ и малярии у пациентов в странах с низким уровнем дохода, где показатели выживаемости при таких болезнях, как рак молочной железы, могут быть в два раза ниже, чем в более богатых странах.""}, {""sentence_id"": 9, ""text"": ""В 11:20 полиция попросила митингующих вернуться на тротуар, заявив, что им необходимо соблюдать баланс между правом протестовать и задержкой дорожного движения.""}, {""sentence_id"": 11, ""text"": ""Рекорд Надала в схватках один на один с канадцем —  7–2.""}]"
ых ,'ых ',385,"[{""sentence_id"": 1, ""text"": ""Ведущие исследователи утверждают, что он может помочь в раннем выявлении рака, туберкулеза, ВИЧ и малярии у пациентов в странах с низким уровнем дохода, где показатели выживаемости при таких болезнях, как рак молочной железы, могут быть в два раза ниже, чем в более богатых странах.""}, {""sentence_id"": 14, ""text"": ""После матча \""Король грунта\"" сказал: \""Я так рад, что вернусь в финальные раунды самых важных мероприятий. Я здесь, чтобы попытаться выиграть\"".""}, {""sentence_id"": 16, ""text"": ""Документы показали, что четырнадцать банков помогли состоятельным клиентам спрятать миллиарды долларов США, чтобы избежать уплаты налогов и выполнения прочих нормативных требований.""}]"
при,'при',383,"[{""sentence_id"": 0, ""text"": ""В понедельник ученые из Медицинской школы Стэнфордского университета объявили об изобретении нового диагностического инструмента, который может сортировать клетки по их типу; это маленький чип, который можно напечатать, используя стандартный струйный принтер примерно за 1 цент США.""}, {""sentence_id"": 2, ""text"": ""Приблизительно в 9:30 по местному времени (02:30 UTC) JAS 39C Gripen упал на взлетно-посадочную полосу и взорвался. Аэропорт пришлось закрыть для коммерческих рейсов.""}, {""sentence_id"": 15, ""text"": ""\""Панамские документы\"" — это собирательное название приблизительно десяти миллионов документов панамской юридической фирмы Mossack Fonseca, просочившихся в прессу весной 2016 г.""}]"
ин,'ин',369,"[{""sentence_id"": 0, ""text"": ""В понедельник ученые из Медицинской школы Стэнфордского университета объявили об изобретении нового диагностического инструмента, который может сортировать клетки по их типу; это маленький чип, который можно напечатать, используя стандартный струйный принтер примерно за 1 цент США.""}, {""sentence_id"": 7, ""text"": ""Протест начался около 11:00 по местному времени (UTC+1) на улице Уайтхолл напротив охраняемого полицией въезда на Даунинг-стрит, официальную резиденцию премьер-министра.""}, {""sentence_id"": 20, ""text"": ""Во время проведения выборов Се намекал, что Ма может покинуть страну в случае кризиса.""}]"
о,'о',354,"[{""sentence_id"": 1, ""text"": ""Ведущие исследователи утверждают, что он может помочь в раннем выявлении рака, туберкулеза, ВИЧ и малярии у пациентов в странах с низким уровнем дохода, где показатели выживаемости при таких болезнях, как рак молочной железы, могут быть в два раза ниже, чем в более богатых странах.""}, {""sentence_id"": 2, ""text"": ""Приблизительно в 9:30 по местному времени (02:30 UTC) JAS 39C Gripen упал на взлетно-посадочную полосу и взорвался. Аэропорт пришлось закрыть для коммерческих рейсов.""}, {""sentence_id"": 4, ""text"": ""Местные СМИ сообщают, что в аэропорту по пути на вызов перевернулась пожарная машина.""}]"
ь ,'ь ',342,"[{""sentence_id"": 2, ""text"": ""Приблизительно в 9:30 по местному времени (02:30 UTC) JAS 39C Gripen упал на взлетно-посадочную полосу и взорвался. Аэропорт пришлось закрыть для коммерческих рейсов.""}, {""sentence_id"": 4, ""text"": ""Местные СМИ сообщают, что в аэропорту по пути на вызов перевернулась пожарная машина.""}, {""sentence_id"": 10, ""text"": ""Около 11:29 протестующие двинулись вверх по Уайтхолл, мимо Трафальгарской площади, вдоль Стрэнда, мимо Олдвича и вверх по Кингсуэй в сторону района Холборн, где Консервативная партия проводила свой Весенний форум в гостинице Grand Connaught Rooms.""}]"
кото,'кото',326,"[{""sentence_id"": 0, ""text"": ""В понедельник ученые из Медицинской школы Стэнфордского университета объявили об изобретении нового диагностического инструмента, который может сортировать клетки по их типу; это маленький чип, который можно напечатать, используя стандартный струйный принтер примерно за 1 цент США.""}, {""sentence_id"": 24, ""text"": ""У него было 2 гола и 2 передачи в матче футбольного клуба \""Вашингтон\"" против \""Атланта Трэшерз\"", в котором первый одержал победу со счётом 5-3.""}, {""sentence_id"": 35, ""text"": ""Были установлены два источника света, лучи от которых были направлены в ночное небо.""}]"
ого ,'ого ',323,"[{""sentence_id"": 0, ""text"": ""В понедельник ученые из Медицинской школы Стэнфордского университета объявили об изобретении нового диагностического инструмента, который может сортировать клетки по их типу; это маленький чип, который можно напечатать, используя стандартный струйный принтер примерно за 1 цент США.""}, {""sentence_id"": 7, ""text"": ""Протест начался около 11:00 по местному времени (UTC+1) на улице Уайтхолл напротив охраняемого полицией въезда на Даунинг-стрит, официальную резиденцию премьер-министра.""}, {""sentence_id"": 9, ""text"": ""В 11:20 полиция попросила митингующих вернуться на тротуар, заявив, что им необходимо соблюдать баланс между правом протестовать и задержкой дорожного движения.""}]"
как,'как',297,"[{""sentence_id"": 1, ""text"": ""Ведущие исследователи утверждают, что он может помочь в раннем выявлении рака, туберкулеза, ВИЧ и малярии у пациентов в странах с низким уровнем дохода, где показатели выживаемости при таких болезнях, как рак молочной железы, могут быть в два раза ниже, чем в более богатых странах.""}, {""sentence_id"": 42, ""text"": ""Синоптики говорят, что шторм, находящийся примерно в 645 милях (1040 км) к западу от островов Кабо-Верде, скорее всего, закончится до того, как сможет стать угрозой каким-либо участкам суши.""}, {""sentence_id"": 49, ""text"": ""У новозеландской полиции были трудности с радарами для замера скорости и определением того, как быстро ехал мистер Рид из-за того, что Black Beauty довольно низкая, и единственный раз, когда полиции удалось засечь мистера Рида, это было тогда, когда он сбавил скорость до 160 км/ч.""}]"
ск,'ск',295,"[{""sentence_id"": 0, ""text"": ""В понедельник ученые из Медицинской школы Стэнфордского университета объявили об изобретении нового диагностического инструмента, который может сортировать клетки по их типу; это маленький чип, который можно напечатать, используя стандартный струйный принтер примерно за 1 цент США.""}, {""sentence_id"": 14, ""text"": ""После матча \""Король грунта\"" сказал: \""Я так рад, что вернусь в финальные раунды самых важных мероприятий. Я здесь, чтобы попытаться выиграть\"".""}, {""sentence_id"": 17, ""text"": ""Британская газета The Guardian  предположила, что Deutsche Bank контролировал примерно треть из 1200 подставных компаний, использованных для этой цели.""}]"
В,'В',277,"[{""sentence_id"": 0, ""text"": ""В понедельник ученые из Медицинской школы Стэнфордского университета объявили об изобретении нового диагностического инструмента, который может сортировать клетки по их типу; это маленький чип, который можно напечатать, используя стандартный струйный принтер примерно за 1 цент США.""}, {""sentence_id"": 1, ""text"": ""Ведущие исследователи утверждают, что он может помочь в раннем выявлении рака, туберкулеза, ВИЧ и малярии у пациентов в странах с низким уровнем дохода, где показатели выживаемости при таких болезнях, как рак молочной железы, могут быть в два раза ниже, чем в более богатых странах.""}, {""sentence_id"": 9, ""text"": ""В 11:20 полиция попросила митингующих вернуться на тротуар, заявив, что им необходимо соблюдать баланс между правом протестовать и задержкой дорожного движения.""}]"
ий ,'ий ',277,"[{""sentence_id"": 5, ""text"": ""28-летний Алеш Видаль перешел в \""Барсу\"" из \""Севильи\"" три сезона назад.""}, {""sentence_id"": 23, ""text"": ""Сегодняшний игрок дня — Алекс Овечкин из Washington Capitals.""}, {""sentence_id"": 31, ""text"": ""Пике-младший попал в аварию на Гран-при Сингапура в 2008 году сразу после раннего пит-стопа Фернандо Алонсо, после чего пришлось задействовать машину безопасности.""}]"
не ,'не ',273,"[{""sentence_id"": 33, ""text"": ""Пике-младший не был допущен к гонкам после Гран-при Венгрии 2009 года.""}, {""sentence_id"": 51, ""text"": ""В апреле этого года судья Глинн издал судебный запрет в отношении данного учреждения, чтобы освободить тех, кто содержался в неволе более 24 часов после их поступления в тюрьму, и у которых не были проведены слушания у уполномоченного суда.""}, {""sentence_id"": 70, ""text"": ""Изначально 20 сентября компания HK Management Inc., которая работает с группой, не дала никаких пояснений, а на следующий день объявила, что выступление отменяется по причинам, связанным с логистикой.""}]"
ая ,'ая ',267,"[{""sentence_id"": 4, ""text"": ""Местные СМИ сообщают, что в аэропорту по пути на вызов перевернулась пожарная машина.""}, {""sentence_id"": 10, ""text"": ""Около 11:29 протестующие двинулись вверх по Уайтхолл, мимо Трафальгарской площади, вдоль Стрэнда, мимо Олдвича и вверх по Кингсуэй в сторону района Холборн, где Консервативная партия проводила свой Весенний форум в гостинице Grand Connaught Rooms.""}, {""sentence_id"": 17, ""text"": ""Британская газета The Guardian  предположила, что Deutsche Bank контролировал примерно треть из 1200 подставных компаний, использованных для этой цели.""}]"
я ,'я ',266,"[{""sentence_id"": 0, ""text"": ""В понедельник ученые из Медицинской школы Стэнфордского университета объявили об изобретении нового диагностического инструмента, который может сортировать клетки по их типу; это маленький чип, который можно напечатать, используя стандартный струйный принтер примерно за 1 цент США.""}, {""sentence_id"": 20, ""text"": ""Во время проведения выборов Се намекал, что Ма может покинуть страну в случае кризиса.""}, {""sentence_id"": 29, ""text"": ""Иракская тюрьма Абу-Грейб была подожжена во время бунта.""}]"
пер,'пер',255,"[{""sentence_id"": 4, ""text"": ""Местные СМИ сообщают, что в аэропорту по пути на вызов перевернулась пожарная машина.""}, {""sentence_id"": 5, ""text"": ""28-летний Алеш Видаль перешел в \""Барсу\"" из \""Севильи\"" три сезона назад.""}, {""sentence_id"": 6, ""text"": ""После переезда в столицу Каталонии  Видаль провел за клуб 49 матчей.""}]"
ое ,'ое ',248,"[{""sentence_id"": 15, ""text"": ""\""Панамские документы\"" — это собирательное название приблизительно десяти миллионов документов панамской юридической фирмы Mossack Fonseca, просочившихся в прессу весной 2016 г.""}, {""sentence_id"": 35, ""text"": ""Были установлены два источника света, лучи от которых были направлены в ночное небо.""}, {""sentence_id"": 39, ""text"": ""Каждое шоу также даст рекомендацию по поводу книги, которую стоит искать детям, когда они пойдут в библиотеку.""}]"
ый ,'ый ',247,"[{""sentence_id"": 0, ""text"": ""В понедельник ученые из Медицинской школы Стэнфордского университета объявили об изобретении нового диагностического инструмента, который может сортировать клетки по их типу; это маленький чип, который можно напечатать, используя стандартный струйный принтер примерно за 1 цент США.""}, {""sentence_id"": 21, ""text"": ""Се также утверждал, что фотогеничный Ма больше выделялся внешностью, чем харизмой.""}, {""sentence_id"": 24, ""text"": ""У него было 2 гола и 2 передачи в матче футбольного клуба \""Вашингтон\"" против \""Атланта Трэшерз\"", в котором первый одержал победу со счётом 5-3.""}]"
по ,'по ',243,"[{""sentence_id"": 0, ""text"": ""В понедельник ученые из Медицинской школы Стэнфордского университета объявили об изобретении нового диагностического инструмента, который может сортировать клетки по их типу; это маленький чип, который можно напечатать, используя стандартный струйный принтер примерно за 1 цент США.""}, {""sentence_id"": 2, ""text"": ""Приблизительно в 9:30 по местному времени (02:30 UTC) JAS 39C Gripen упал на взлетно-посадочную полосу и взорвался. Аэропорт пришлось закрыть для коммерческих рейсов.""}, {""sentence_id"": 4, ""text"": ""Местные СМИ сообщают, что в аэропорту по пути на вызов перевернулась пожарная машина.""}]"
