segment,segment_display,count,example_occurrences
що ,'що ',629,"[{""sentence_id"": 0, ""text"": ""У понеділок, науковці зі Школи медицини Стенфордського університету оголосили про винайдення нового діагностичного інструменту, що може сортувати клітини за їх видами: це малесенький друкований чіп, який можна виготовити за допомогою стандартних променевих принтерів десь по одному центу США за штуку.""}, {""sentence_id"": 1, ""text"": ""Провідні дослідники кажуть, що це може сприяти ранньому виявленню раку, туберкульозу, ВІЛ і малярії у пацієнтів з країн з низьким рівнем доходу, де показники виживання людей з такими захворюваннями, як рак грудей, можуть бути вдвічі нижчі, ніж у заможніших країнах.""}, {""sentence_id"": 4, ""text"": ""Місцеві ЗМІ повідомляють, що пожежна машина аеропорту перекинулася під час виклику.""}]"
их ,'их ',615,"[{""sentence_id"": 0, ""text"": ""У понеділок, науковці зі Школи медицини Стенфордського університету оголосили про винайдення нового діагностичного інструменту, що може сортувати клітини за їх видами: це малесенький друкований чіп, який можна виготовити за допомогою стандартних променевих принтерів десь по одному центу США за штуку.""}, {""sentence_id"": 2, ""text"": ""Винищувач JAS 39C Gripen обрушився на злітно-посадкову смугу близько 9:30 ранку за місцевим часом (02:30 UTC) та вибухнув, внаслідок чого аеропорт закрив небо для комерційних рейсів.""}, {""sentence_id"": 13, ""text"": ""Надаль набрав у матчі 88% очок, виграних у сітки, взявши 76 очок у першій подачі.""}]"
з ,'з ',596,"[{""sentence_id"": 1, ""text"": ""Провідні дослідники кажуть, що це може сприяти ранньому виявленню раку, туберкульозу, ВІЛ і малярії у пацієнтів з країн з низьким рівнем доходу, де показники виживання людей з такими захворюваннями, як рак грудей, можуть бути вдвічі нижчі, ніж у заможніших країнах.""}, {""sentence_id"": 10, ""text"": ""Близько 11:29 учасники протесту рушили вгору по Уайтхолл, повз Трафальгарську площу, уздовж Стренд, повз Алдвіча і вгору Королівським трактом у бік Холборну, де Консервативна партія проводила свій Весняний форум в готелі Гранд Конноут Румз.""}, {""sentence_id"": 15, ""text"": ""\""Панамські документи\"" – це узагальнюючий термін для приблизно десяти мільйонів документів з панамської юридичної фірми \""Моссак Фонсека\"", які потрапили до преси навесні 2016 року.""}]"
в ,'в ',567,"[{""sentence_id"": 0, ""text"": ""У понеділок, науковці зі Школи медицини Стенфордського університету оголосили про винайдення нового діагностичного інструменту, що може сортувати клітини за їх видами: це малесенький друкований чіп, який можна виготовити за допомогою стандартних променевих принтерів десь по одному центу США за штуку.""}, {""sentence_id"": 7, ""text"": ""Протестування почалося близько 11:00 за місцевим часом (всесвітній координований час + 1) в Уайтхолі, біля входу на Даунінг-стріт, офіційної резиденції прем'єр-міністра, що охороняється поліцією.""}, {""sentence_id"": 10, ""text"": ""Близько 11:29 учасники протесту рушили вгору по Уайтхолл, повз Трафальгарську площу, уздовж Стренд, повз Алдвіча і вгору Королівським трактом у бік Холборну, де Консервативна партія проводила свій Весняний форум в готелі Гранд Конноут Румз.""}]"
ня ,'ня ',549,"[{""sentence_id"": 0, ""text"": ""У понеділок, науковці зі Школи медицини Стенфордського університету оголосили про винайдення нового діагностичного інструменту, що може сортувати клітини за їх видами: це малесенький друкований чіп, який можна виготовити за допомогою стандартних променевих принтерів десь по одному центу США за штуку.""}, {""sentence_id"": 1, ""text"": ""Провідні дослідники кажуть, що це може сприяти ранньому виявленню раку, туберкульозу, ВІЛ і малярії у пацієнтів з країн з низьким рівнем доходу, де показники виживання людей з такими захворюваннями, як рак грудей, можуть бути вдвічі нижчі, ніж у заможніших країнах.""}, {""sentence_id"": 7, ""text"": ""Протестування почалося близько 11:00 за місцевим часом (всесвітній координований час + 1) в Уайтхолі, біля входу на Даунінг-стріт, офіційної резиденції прем'єр-міністра, що охороняється поліцією.""}]"
о,'о',527,"[{""sentence_id"": 2, ""text"": ""Винищувач JAS 39C Gripen обрушився на злітно-посадкову смугу близько 9:30 ранку за місцевим часом (02:30 UTC) та вибухнув, внаслідок чого аеропорт закрив небо для комерційних рейсів.""}, {""sentence_id"": 4, ""text"": ""Місцеві ЗМІ повідомляють, що пожежна машина аеропорту перекинулася під час виклику.""}, {""sentence_id"": 10, ""text"": ""Близько 11:29 учасники протесту рушили вгору по Уайтхолл, повз Трафальгарську площу, уздовж Стренд, повз Алдвіча і вгору Королівським трактом у бік Холборну, де Консервативна партія проводила свій Весняний форум в готелі Гранд Конноут Румз.""}]"
ий ,'ий ',522,"[{""sentence_id"": 0, ""text"": ""У понеділок, науковці зі Школи медицини Стенфордського університету оголосили про винайдення нового діагностичного інструменту, що може сортувати клітини за їх видами: це малесенький друкований чіп, який можна виготовити за допомогою стандартних променевих принтерів десь по одному центу США за штуку.""}, {""sentence_id"": 5, ""text"": ""28-річний Відаль прийшов у Барселону три сезону тому із Севільї.""}, {""sentence_id"": 7, ""text"": ""Протестування почалося близько 11:00 за місцевим часом (всесвітній координований час + 1) в Уайтхолі, біля входу на Даунінг-стріт, офіційної резиденції прем'єр-міністра, що охороняється поліцією.""}]"
та ,'та ',520,"[{""sentence_id"": 2, ""text"": ""Винищувач JAS 39C Gripen обрушився на злітно-посадкову смугу близько 9:30 ранку за місцевим часом (02:30 UTC) та вибухнув, внаслідок чого аеропорт закрив небо для комерційних рейсів.""}, {""sentence_id"": 16, ""text"": ""Документи показали, що чотирнадцять банків допомагали багатим клієнтам приховувати мільярди доларів США, щоб уникнути податків та інших правил.""}, {""sentence_id"": 18, ""text"": ""У світі відбулися протести, кілька кримінальних переслідувань, а обидва лідери урядів Ісландії та Пакистану пішли у відставку.""}]"
ан,'ан',504,"[{""sentence_id"": 0, ""text"": ""У понеділок, науковці зі Школи медицини Стенфордського університету оголосили про винайдення нового діагностичного інструменту, що може сортувати клітини за їх видами: це малесенький друкований чіп, який можна виготовити за допомогою стандартних променевих принтерів десь по одному центу США за штуку.""}, {""sentence_id"": 7, ""text"": ""Протестування почалося близько 11:00 за місцевим часом (всесвітній координований час + 1) в Уайтхолі, біля входу на Даунінг-стріт, офіційної резиденції прем'єр-міністра, що охороняється поліцією.""}, {""sentence_id"": 13, ""text"": ""Надаль набрав у матчі 88% очок, виграних у сітки, взявши 76 очок у першій подачі.""}]"
по,'по',484,"[{""sentence_id"": 2, ""text"": ""Винищувач JAS 39C Gripen обрушився на злітно-посадкову смугу близько 9:30 ранку за місцевим часом (02:30 UTC) та вибухнув, внаслідок чого аеропорт закрив небо для комерційних рейсів.""}, {""sentence_id"": 7, ""text"": ""Протестування почалося близько 11:00 за місцевим часом (всесвітній координований час + 1) в Уайтхолі, біля входу на Даунінг-стріт, офіційної резиденції прем'єр-міністра, що охороняється поліцією.""}, {""sentence_id"": 9, ""text"": ""Об 11:20 поліція попросила протестувальників відступити на тротуар, заявивши, що їм потрібно врівноважити право на протест і пожвавлення дорожнього руху.""}]"
ін,'ін',481,"[{""sentence_id"": 0, ""text"": ""У понеділок, науковці зі Школи медицини Стенфордського університету оголосили про винайдення нового діагностичного інструменту, що може сортувати клітини за їх видами: це малесенький друкований чіп, який можна виготовити за допомогою стандартних променевих принтерів десь по одному центу США за штуку.""}, {""sentence_id"": 7, ""text"": ""Протестування почалося близько 11:00 за місцевим часом (всесвітній координований час + 1) в Уайтхолі, біля входу на Даунінг-стріт, офіційної резиденції прем'єр-міністра, що охороняється поліцією.""}, {""sentence_id"": 15, ""text"": ""\""Панамські документи\"" – це узагальнюючий термін для приблизно десяти мільйонів документів з панамської юридичної фірми \""Моссак Фонсека\"", які потрапили до преси навесні 2016 року.""}]"
ов,'ов',477,"[{""sentence_id"": 0, ""text"": ""У понеділок, науковці зі Школи медицини Стенфордського університету оголосили про винайдення нового діагностичного інструменту, що може сортувати клітини за їх видами: це малесенький друкований чіп, який можна виготовити за допомогою стандартних променевих принтерів десь по одному центу США за штуку.""}, {""sentence_id"": 5, ""text"": ""28-річний Відаль прийшов у Барселону три сезону тому із Севільї.""}, {""sentence_id"": 7, ""text"": ""Протестування почалося близько 11:00 за місцевим часом (всесвітній координований час + 1) в Уайтхолі, біля входу на Даунінг-стріт, офіційної резиденції прем'єр-міністра, що охороняється поліцією.""}]"
е ,'е ',446,"[{""sentence_id"": 21, ""text"": ""Шей також стверджував, що у фотогенічному Ма було більше стилю, ніж змісту.""}, {""sentence_id"": 25, ""text"": ""Овечкін вперше допоміг Никласу Бекстрему забити переможний гол у грі;""}, {""sentence_id"": 26, ""text"": ""його другий гол цього вечора став його 60-м голом цього сезону, що робить з нього першого гравця, котрий забив 60 або більше голів за сезон після 1995-96 років, коли Яромир Ягр та Маріо Лем'є дійшли до цієї відмітки.""}]"
від,'від',431,"[{""sentence_id"": 9, ""text"": ""Об 11:20 поліція попросила протестувальників відступити на тротуар, заявивши, що їм потрібно врівноважити право на протест і пожвавлення дорожнього руху.""}, {""sentence_id"": 18, ""text"": ""У світі відбулися протести, кілька кримінальних переслідувань, а обидва лідери урядів Ісландії та Пакистану пішли у відставку.""}, {""sentence_id"": 24, ""text"": ""Він відзначився 2 голами та 2 гольовими передачами у переможному матчі Вашингтона проти команди Атланта Трешерс із рахунком 5:3.""}]"
", ","', '",398,"[{""sentence_id"": 0, ""text"": ""У понеділок, науковці зі Школи медицини Стенфордського університету оголосили про винайдення нового діагностичного інструменту, що може сортувати клітини за їх видами: це малесенький друкований чіп, який можна виготовити за допомогою стандартних променевих принтерів десь по одному центу США за штуку.""}, {""sentence_id"": 1, ""text"": ""Провідні дослідники кажуть, що це може сприяти ранньому виявленню раку, туберкульозу, ВІЛ і малярії у пацієнтів з країн з низьким рівнем доходу, де показники виживання людей з такими захворюваннями, як рак грудей, можуть бути вдвічі нижчі, ніж у заможніших країнах.""}, {""sentence_id"": 7, ""text"": ""Протестування почалося близько 11:00 за місцевим часом (всесвітній координований час + 1) в Уайтхолі, біля входу на Даунінг-стріт, офіційної резиденції прем'єр-міністра, що охороняється поліцією.""}]"
ого ,'ого ',379,"[{""sentence_id"": 0, ""text"": ""У понеділок, науковці зі Школи медицини Стенфордського університету оголосили про винайдення нового діагностичного інструменту, що може сортувати клітини за їх видами: це малесенький друкований чіп, який можна виготовити за допомогою стандартних променевих принтерів десь по одному центу США за штуку.""}, {""sentence_id"": 19, ""text"": ""Ма народився у Гонконзі, навчався у Нью-Йоркському університеті та на юридичному факультеті Гарварду, і в певний період часу мав американську \""зелену картку\"" постійного мешканця.""}, {""sentence_id"": 26, ""text"": ""його другий гол цього вечора став його 60-м голом цього сезону, що робить з нього першого гравця, котрий забив 60 або більше голів за сезон після 1995-96 років, коли Яромир Ягр та Маріо Лем'є дійшли до цієї відмітки.""}]"
пер,'пер',343,"[{""sentence_id"": 4, ""text"": ""Місцеві ЗМІ повідомляють, що пожежна машина аеропорту перекинулася під час виклику.""}, {""sentence_id"": 6, ""text"": ""Після переїзду до каталонської столиці Відаль зіграв за клуб 49 матчів.""}, {""sentence_id"": 13, ""text"": ""Надаль набрав у матчі 88% очок, виграних у сітки, взявши 76 очок у першій подачі.""}]"
при,'при',331,"[{""sentence_id"": 0, ""text"": ""У понеділок, науковці зі Школи медицини Стенфордського університету оголосили про винайдення нового діагностичного інструменту, що може сортувати клітини за їх видами: це малесенький друкований чіп, який можна виготовити за допомогою стандартних променевих принтерів десь по одному центу США за штуку.""}, {""sentence_id"": 5, ""text"": ""28-річний Відаль прийшов у Барселону три сезону тому із Севільї.""}, {""sentence_id"": 15, ""text"": ""\""Панамські документи\"" – це узагальнюючий термін для приблизно десяти мільйонів документів з панамської юридичної фірми \""Моссак Фонсека\"", які потрапили до преси навесні 2016 року.""}]"
до ,'до ',329,"[{""sentence_id"": 6, ""text"": ""Після переїзду до каталонської столиці Відаль зіграв за клуб 49 матчів.""}, {""sentence_id"": 15, ""text"": ""\""Панамські документи\"" – це узагальнюючий термін для приблизно десяти мільйонів документів з панамської юридичної фірми \""Моссак Фонсека\"", які потрапили до преси навесні 2016 року.""}, {""sentence_id"": 26, ""text"": ""його другий гол цього вечора став його 60-м голом цього сезону, що робить з нього першого гравця, котрий забив 60 або більше голів за сезон після 1995-96 років, коли Яромир Ягр та Маріо Лем'є дійшли до цієї відмітки.""}]"
он,'он',318,"[{""sentence_id"": 7, ""text"": ""Протестування почалося близько 11:00 за місцевим часом (всесвітній координований час + 1) в Уайтхолі, біля входу на Даунінг-стріт, офіційної резиденції прем'єр-міністра, що охороняється поліцією.""}, {""sentence_id"": 47, ""text"": ""Джонні Рід, другий водій новозеландської команди перегонів \""A1 Гран-прі\"", на законних підставх сьогодні увійшов в історію, проїхавши із найвищою швидкістю 48-річний міст Гарбор-Брідж в Окленді, Нова Зеландія.""}, {""sentence_id"": 51, ""text"": ""У квітні цього року суддя Глінн видав розпорядження про тимчасове призупинення виконання вироку відносно цієї установи, з тим щоб домогтися звільнення осіб, утримуваних під вартою понад 24 годин після їх надходження та не заслуханих судовим комісаром.""}]"
ен,'ен',313,"[{""sentence_id"": 0, ""text"": ""У понеділок, науковці зі Школи медицини Стенфордського університету оголосили про винайдення нового діагностичного інструменту, що може сортувати клітини за їх видами: це малесенький друкований чіп, який можна виготовити за допомогою стандартних променевих принтерів десь по одному центу США за штуку.""}, {""sentence_id"": 12, ""text"": ""Нещодавно він програв Раоничу на Брисбен Оупен.""}, {""sentence_id"": 21, ""text"": ""Шей також стверджував, що у фотогенічному Ма було більше стилю, ніж змісту.""}]"
я ,'я ',286,"[{""sentence_id"": 4, ""text"": ""Місцеві ЗМІ повідомляють, що пожежна машина аеропорту перекинулася під час виклику.""}, {""sentence_id"": 7, ""text"": ""Протестування почалося близько 11:00 за місцевим часом (всесвітній координований час + 1) в Уайтхолі, біля входу на Даунінг-стріт, офіційної резиденції прем'єр-міністра, що охороняється поліцією.""}, {""sentence_id"": 18, ""text"": ""У світі відбулися протести, кілька кримінальних переслідувань, а обидва лідери урядів Ісландії та Пакистану пішли у відставку.""}]"
не ,'не ',280,"[{""sentence_id"": 42, ""text"": ""За словами синоптиків, шторм, розташований приблизно за 645 миль (1040 км) на захід від островів Кабо-Верде, швидше за все, розсіється, перш ніж почне загрожувати будь-яким ділянкам суші.""}, {""sentence_id"": 49, ""text"": ""Новозеландській поліції не вдавалося використати свої радари, щоб дізнатися, наскільки швидко їхав містер Рід, з причини низької посадки \""Чорної красуні\"", і єдиний раз, коли поліції вдалося зареєструвати містера Ріда, був момент, коли він cповільнився до 160 км/год.""}, {""sentence_id"": 51, ""text"": ""У квітні цього року суддя Глінн видав розпорядження про тимчасове призупинення виконання вироку відносно цієї установи, з тим щоб домогтися звільнення осіб, утримуваних під вартою понад 24 годин після їх надходження та не заслуханих судовим комісаром.""}]"
ин,'ин',257,"[{""sentence_id"": 0, ""text"": ""У понеділок, науковці зі Школи медицини Стенфордського університету оголосили про винайдення нового діагностичного інструменту, що може сортувати клітини за їх видами: це малесенький друкований чіп, який можна виготовити за допомогою стандартних променевих принтерів десь по одному центу США за штуку.""}, {""sentence_id"": 2, ""text"": ""Винищувач JAS 39C Gripen обрушився на злітно-посадкову смугу близько 9:30 ранку за місцевим часом (02:30 UTC) та вибухнув, внаслідок чого аеропорт закрив небо для комерційних рейсів.""}, {""sentence_id"": 4, ""text"": ""Місцеві ЗМІ повідомляють, що пожежна машина аеропорту перекинулася під час виклику.""}]"
ої ,'ої ',253,"[{""sentence_id"": 6, ""text"": ""Після переїзду до каталонської столиці Відаль зіграв за клуб 49 матчів.""}, {""sentence_id"": 7, ""text"": ""Протестування почалося близько 11:00 за місцевим часом (всесвітній координований час + 1) в Уайтхолі, біля входу на Даунінг-стріт, офіційної резиденції прем'єр-міністра, що охороняється поліцією.""}, {""sentence_id"": 15, ""text"": ""\""Панамські документи\"" – це узагальнюючий термін для приблизно десяти мільйонів документів з панамської юридичної фірми \""Моссак Фонсека\"", які потрапили до преси навесні 2016 року.""}]"
міс,'міс',249,"[{""sentence_id"": 2, ""text"": ""Винищувач JAS 39C Gripen обрушився на злітно-посадкову смугу близько 9:30 ранку за місцевим часом (02:30 UTC) та вибухнув, внаслідок чого аеропорт закрив небо для комерційних рейсів.""}, {""sentence_id"": 7, ""text"": ""Протестування почалося близько 11:00 за місцевим часом (всесвітній координований час + 1) в Уайтхолі, біля входу на Даунінг-стріт, офіційної резиденції прем'єр-міністра, що охороняється поліцією.""}, {""sentence_id"": 27, ""text"": ""Баттен посів 190-те місце у переліку 400-от Найбагатших американців 2008-го, з приблизними статками у 2.3 мільярда.""}]"
к,'к',247,"[{""sentence_id"": 1, ""text"": ""Провідні дослідники кажуть, що це може сприяти ранньому виявленню раку, туберкульозу, ВІЛ і малярії у пацієнтів з країн з низьким рівнем доходу, де показники виживання людей з такими захворюваннями, як рак грудей, можуть бути вдвічі нижчі, ніж у заможніших країнах.""}, {""sentence_id"": 2, ""text"": ""Винищувач JAS 39C Gripen обрушився на злітно-посадкову смугу близько 9:30 ранку за місцевим часом (02:30 UTC) та вибухнув, внаслідок чого аеропорт закрив небо для комерційних рейсів.""}, {""sentence_id"": 4, ""text"": ""Місцеві ЗМІ повідомляють, що пожежна машина аеропорту перекинулася під час виклику.""}]"
им ,'им ',247,"[{""sentence_id"": 1, ""text"": ""Провідні дослідники кажуть, що це може сприяти ранньому виявленню раку, туберкульозу, ВІЛ і малярії у пацієнтів з країн з низьким рівнем доходу, де показники виживання людей з такими захворюваннями, як рак грудей, можуть бути вдвічі нижчі, ніж у заможніших країнах.""}, {""sentence_id"": 2, ""text"": ""Винищувач JAS 39C Gripen обрушився на злітно-посадкову смугу близько 9:30 ранку за місцевим часом (02:30 UTC) та вибухнув, внаслідок чого аеропорт закрив небо для комерційних рейсів.""}, {""sentence_id"": 7, ""text"": ""Протестування почалося близько 11:00 за місцевим часом (всесвітній координований час + 1) в Уайтхолі, біля входу на Даунінг-стріт, офіційної резиденції прем'єр-міністра, що охороняється поліцією.""}]"
за,'за',247,"[{""sentence_id"": 1, ""text"": ""Провідні дослідники кажуть, що це може сприяти ранньому виявленню раку, туберкульозу, ВІЛ і малярії у пацієнтів з країн з низьким рівнем доходу, де показники виживання людей з такими захворюваннями, як рак грудей, можуть бути вдвічі нижчі, ніж у заможніших країнах.""}, {""sentence_id"": 9, ""text"": ""Об 11:20 поліція попросила протестувальників відступити на тротуар, заявивши, що їм потрібно врівноважити право на протест і пожвавлення дорожнього руху.""}, {""sentence_id"": 14, ""text"": ""Після матчу король ґрунту сказав: \""Я просто в захваті від того, що зможу повернутися в фінальні раунди найважливіших подій. Я тут, щоб спробувати перемогти\"".""}]"
